CMS Code,Quant Budget,proj year,proj date,Project Type
MACM10,5e3,In 2015,Aug 2015,Cashflows
MACM10,5e3,In 2015,Aug 2015,ALM
MACM10,12500.0,In 2015,Nov 2015,LDI
MACM10,3500.0,In 2015,Aug 2015,Cashflows
MACM10,8e3,In 2016,Feb 2016,ALM
MACM10,3500.0,In 2016,Nov 2016,Cashflows
MACM10,5e3,In 2016,Dec 2016,LDI
MANP10,1500.0,In 2015,Jun 2015,3DA
MANP10,3e3,In 2016,Mar 2016,LDI
MANS01,2e3,In 2014,Nov 2014,Structure
MANS01,2500.0,In 2015,Jul 2015,Other
MANS01,2500.0,In 2015,Oct 2015,Other
MANS01,750.0,In 2015,Nov 2015,LDI
MANS01,2500.0,In 2016,Feb 2016,Other
MANS01,750.0,In 2016,Feb 2016,LDI
MANS01,1e4,In 2016,Mar 2016,ALM
MANS01,750.0,In 2016,May 2016,LDI
MANS01,2500.0,In 2016,Apr 2016,Other
MANS01,1e3,In 2016,May 2016,Structure
MANS01,750.0,In 2016,Aug 2016,LDI
MANS01,2500.0,In 2016,Jul 2016,Other
MANS01,2e3,In 2016,Sep 2016,ALM
MANS01,750.0,In 2016,Nov 2016,LDI
MANS01,2500.0,In 2016,Oct 2016,Other
MANS01,2500.0,In 2016,Nov 2016,Structure
MANS10,500.0,In 2015,Mar 2015,Other
Manweb,15e3,In 2015,Nov 2015,ALM
Manweb (Inv Review),15e3,In 2014,Jan 2014,ALM
MCOL10,1500.0,In 2015,Jun 2015,LDI
MCOL10,750.0,In 2015,Sep 2015,LDI
MCOL10,1250.0,In 2016,Jun 2016,LDI
MCOL10,1250.0,In 2016,Jul 2016,LDI
MCOL10,1e4,In 2016,Sep 2016,ALM
MCOL10,5e3,In 2016,Nov 2016,LDI
MCOL10,750.0,In 2016,Nov 2016,Structure
MCOL11,1500.0,In 2015,Jun 2015,LDI
MCOL11,750.0,In 2015,Sep 2015,LDI
MCOL11,1250.0,In 2016,Jun 2016,LDI
MCOL11,1e4,In 2016,Sep 2016,ALM
MCOL11,5e3,In 2016,Nov 2016,LDI
MCOL11,750.0,In 2016,Nov 2016,Structure
MCOLL10,1500.0,In 2015,Oct 2015,LDI
MCOLL11,1500.0,In 2015,Oct 2015,LDI
MENC10,1500.0,In 2015,Sep 2015,3DA
MENZ10,2e3,In 2014,Nov 2014,Structure
MENZ10,12500.0,In 2015,Aug 2015,ALM
MENZ10,5e3,In 2016,Nov 2016,LDI
MNOP10,5e3,In 2015,May 2015,Cashflows
MNOP10,1e4,In 2015,Jul 2015,LDI
MNOP10,6e3,In 2016,Oct 2016,LDI
MNOP10,3500.0,In 2016,Sep 2016,Cashflows
MOLI10,15e3,In 2014,Feb 2014,ALM
MOLI10,1e4,In 2015,Oct 2015,ALM
MOLI10,5e3,In 2015,Sep 2015,Cashflows
MOLI10,2500.0,In 2015,Oct 2015,LDI
MOLI10,1500.0,In 2016,Mar 2016,3DA
